Player,Primary_Pos,Club,League,Age,Market_Value_EUR,Predicted_Value,Gap,Value_Ratio
Bryan Zaragoza,FW,Celta Vigo,es La Liga,23.0,8000000,12475642.0,4475642.0,1.55945525
Riyad Idrissi,MF,Cagliari,it Serie A,20.0,4000000,8413183.0,4413183.0,2.10329575
Arnau Tenas,GK,Villarreal,es La Liga,24.0,4000000,8374080.0,4374080.0,2.09352
Kenny Tete,DF,Fulham,eng Premier League,29.0,8000000,12349031.0,4349031.0,1.543628875
Gianluca Gaetano,MF,Cagliari,it Serie A,25.0,6500000,10824852.0,4324852.0,1.6653618461538462
Joe Worrall,DF,Burnley,eng Premier League,28.0,2000000,6323173.0,4323173.0,3.1615865
Morgan Guilavogui,MF,Lens,fr Ligue 1,27.0,4500000,8801768.0,4301768.0,1.9559484444444444
Davinchi,DF,Getafe,es La Liga,17.0,1000000,5248462.5,4248462.5,5.2484625
Zian Flemming,FW,Burnley,eng Premier League,26.0,12000000,16213960.0,4213960.0,1.3511633333333333
Luke Shaw,DF,Manchester Utd,eng Premier League,30.0,8000000,12213940.0,4213940.0,1.5267425
Malo Gusto,DF,Chelsea,eng Premier League,22.0,35000000,39197490.0,4197488.0,1.1199282285714285
Ollie Watkins,FW,Aston Villa,eng Premier League,29.0,25000000,29169184.0,4169184.0,1.16676736
Federico Bonazzoli,FW,Cremonese,it Serie A,28.0,2500000,6665144.5,4165144.5,2.6660578
Gianluigi Donnarumma,GK,Manchester City,eng Premier League,26.0,45000000,49148540.0,4148540.0,1.0921897777777778
PathÃ© Mboup,MF,Brest,fr Ligue 1,21.0,2500000,6625573.0,4125573.0,2.6502292
Sebastiano Esposito,FW,Cagliari,it Serie A,23.0,15000000,19120792.0,4120792.0,1.2747194666666666
Gabriele Zappa,DF,Cagliari,it Serie A,25.0,3000000,7089091.5,4089091.5,2.3630305
Aaron Wan-Bissaka,DF,West Ham United,eng Premier League,27.0,15000000,19074748.0,4074748.0,1.2716498666666667
Aitor Ruibal,DF,Real Betis,es La Liga,29.0,4000000,8046503.0,4046503.0,2.01162575
Abdallah Sima,MF,Lens,fr Ligue 1,24.0,5000000,9022448.0,4022448.0,1.8044896
Alfonso Pedraza,DF,Villarreal,es La Liga,29.0,2500000,6514113.0,4014113.0,2.6056452
Leandro Trossard,FW,Arsenal,eng Premier League,30.0,18000000,21995936.0,3995936.0,1.2219964444444444
Jan Thielmann,MF,KÃ¶ln,de Bundesliga,23.0,5000000,8930456.0,3930456.0,1.7860912
Jacob Bruun Larsen,MF,Burnley,eng Premier League,26.0,4000000,7922985.0,3922985.0,1.98074625
Xaver Schlager,MF,RB Leipzig,de Bundesliga,27.0,10000000,13922629.0,3922629.0,1.3922629
Kieron Bowie,FW,Hellas Verona,it Serie A,22.0,7000000,10914123.0,3914123.0,1.5591604285714287
Iker MuÃ±oz,MF,Osasuna,es La Liga,22.0,2000000,5908156.5,3908156.5,2.95407825
Edoardo Corvi,GK,Parma,it Serie A,24.0,1500000,5393898.5,3893898.5,3.5959323333333333
Montrell Culbreath,MF,Leverkusen,de Bundesliga,17.0,15000000,18890748.0,3890748.0,1.2593832
Marc-Oliver Kempf,DF,Como,it Serie A,30.0,3500000,7375089.0,3875089.0,2.1071682857142857
Manuel Akanji,DF,Inter,it Serie A,30.0,17000000,20850572.0,3850572.0,1.2265042352941176
MÃ¡ximo Perrone,MF,Como,it Serie A,22.0,35000000,38800428.0,3800428.0,1.1085836571428571
Renato Veiga,DF,Villarreal,es La Liga,22.0,25000000,28774584.0,3774584.0,1.15098336
Morato,DF,Nottingham Forest,eng Premier League,24.0,14000000,17758640.0,3758640.0,1.2684742857142857
Leon Goretzka,MF,Bayern Munich,de Bundesliga,30.0,12000000,15757610.0,3757610.0,1.3131341666666667
Julio Enciso,MF,Strasbourg,fr Ligue 1,21.0,25000000,28743700.0,3743700.0,1.149748
Harry Wilson,MF,Fulham,eng Premier League,28.0,25000000,28657920.0,3657920.0,1.1463168
Alessandro Deiola,MF,Cagliari,it Serie A,29.0,1500000,5154802.5,3654802.5,3.436535
FÃ©lix LemarÃ©chal,MF,Strasbourg,fr Ligue 1,21.0,6000000,9619251.0,3619251.0,1.6032085
Sergio Carreira,MF,Celta Vigo,es La Liga,24.0,12000000,15604535.0,3604535.0,1.3003779166666667
MartÃ­n Zubimendi,MF,Arsenal,eng Premier League,26.0,75000000,78589190.0,3589192.0,1.0478558933333333
Ãlvaro VallÃ©s,GK,Real Betis,es La Liga,28.0,7000000,10581963.0,3581963.0,1.511709
Emanuele Valeri,MF,Parma,it Serie A,26.0,3000000,6574677.0,3574677.0,2.191559
Dominik Greif,GK,Lyon,fr Ligue 1,28.0,9000000,12571595.0,3571595.0,1.396843888888889
Danilo Veiga,DF,Lecce,it Serie A,22.0,2500000,6061655.5,3561655.5,2.4246622
Habib Diarra,MF,Sunderland,eng Premier League,21.0,35000000,38559988.0,3559988.0,1.1017139428571427
Ridle Baku,DF,RB Leipzig,de Bundesliga,27.0,12000000,15556007.0,3556007.0,1.2963339166666668
Derrick KÃ¶hn,MF,Union Berlin,de Bundesliga,26.0,4000000,7545140.0,3545140.0,1.886285
Pierre-Emerick Aubameyang,FW,Marseille,fr Ligue 1,36.0,2500000,6044412.5,3544412.5,2.417765
Kevin Diks,DF,Gladbach,de Bundesliga,28.0,5000000,8494117.0,3494117.0,1.6988234
Marvin Pieringer,FW,Heidenheim,de Bundesliga,25.0,3000000,6437902.0,3437902.0,2.145967333333333
Abdelhamid Ait Boudlal,DF,Rennes,fr Ligue 1,19.0,12000000,15435685.0,3435685.0,1.2863070833333334
